Fiscal Year,Month Ending,Licensee,Wagers,Patron Winnings,Cancelled Wagers,Online Casino Gaming Win/(Loss),Promotional Coupons or Credits Wagered (3),Promotional Deduction (4),Total Gross Gaming Revenue,Payment (5)
2022/23,03/31/2023 12:00:00 AM,"Mohegan Digital, LLC",460910874,445347033,21482,15542359,2530781,2530781,13011578,2342084
2022/23,02/28/2023 12:00:00 AM,Mohegan Tribe On-Reservation,853749,856706,1,-2958,6280,0,-2958,0
2022/23,02/28/2023 12:00:00 AM,MPTN On-Reservation,970920,926337,1,44583,8285,8285,36298,6534
2022/23,02/28/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",545658135,528722068,227054,16709013,3366433,3341803,13367210,2406098
2022/23,02/28/2023 12:00:00 AM,"Mohegan Digital, LLC",397870713,385463433,63859,12343420,2815047,2468684,9874736,1777452
2022/23,01/31/2023 12:00:00 AM,Mohegan Tribe On-Reservation,841903,785439,1,56463,4909,4909,51553,9280
2022/23,01/31/2023 12:00:00 AM,MPTN On-Reservation,579262,545124,3,34136,24950,6827,27309,4916
2022/23,01/31/2023 12:00:00 AM,"MPI Master Wagering License CT, LLC",541102178,523853032,239675,17009471,3441326,3401894,13607576,2449364
2022/23,01/31/2023 12:00:00 AM,"Mohegan Digital, LLC",382071941,368663927,288196,13119817,2819292,2623963,10495854,1889254
2022/23,12/31/2022 12:00:00 AM,Mohegan Tribe On-Reservation,1029050,1066231,85,-37265,8131,0,-37265,0
2022/23,12/31/2022 12:00:00 AM,MPTN On-Reservation,944718,929450,10,15258,94703,3052,12206,2197
2022/23,12/31/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",592670553,575689219,270535,16710799,22060773,3342160,13368640,2406355
2022/23,12/31/2022 12:00:00 AM,"Mohegan Digital, LLC",408351893,396335671,343985,11672236,2491356,2334447,9337789,1680802
2022/23,11/30/2022 12:00:00 AM,Mohegan Tribe On-Reservation,376858,371702,0,5156,2846,1031,4125,743
2022/23,11/30/2022 12:00:00 AM,MPTN On-Reservation,727476,681934,0,45543,32761,9109,36434,6558
2022/23,11/30/2022 12:00:00 AM,"MPI Master Wagering License CT, LLC",512129835,496879199,228303,15022333,12946809,3004467,12017866,2163216
